source,target,source_type,target_type,mu_forward,mu_backward,abs_diff,rel_diff,forward_dominant
FLP,ASI,sensory,sensory,0.00011413260373690687,0.00018635055887971356,7.221795514280669e-05,0.2403393603821052,False
ADA,AQR,interneuron,unknown,2.2500310002750346e-05,9.462390994109432e-05,7.212359993834397e-05,0.6157867125540083,False
PQR,IL1,unknown,sensory,9.262864014041903e-06,8.135451125728437e-05,7.209164724324247e-05,0.7955600950852594,False
AIM,AWB,interneuron,sensory,1.876246318494959e-05,9.08220787493521e-05,7.20596155644025e-05,0.6575703884455248,False
FLP,AIA,sensory,interneuron,9.362385958776073e-05,0.00016559534776084772,7.197148817308699e-05,0.2776470970053819,False
LUA,RMH,interneuron,motor,0.0003023181428659563,0.00023043351566782097,7.188462719813534e-05,0.13493081167103785,True
PVP,RME,interneuron,motor,9.216171178471604e-06,8.107080672598359e-05,7.185463554751199e-05,0.7958462851522449,False
RMD,SAA,motor,motor,0.00030787263697922934,0.00023621535129397675,7.165728568525259e-05,0.13170162558175855,True
AIN,ASG,interneuron,sensory,0.00022540904547452354,0.0002969845957424119,7.157555026788838e-05,0.13701456319356065,False
AVH,RMH,interneuron,motor,0.0002948309996938033,0.000223264331647532,7.156666804627131e-05,0.13813414231618892,True
URX,SMD,sensory,motor,0.0002904608151771166,0.00036192662010295996,7.146580492584337e-05,0.10954501896662139,False
AVK,RMH,interneuron,motor,0.00017341659241602853,0.00010213010189863242,7.12864905173961e-05,0.2587091992657713,True
PHA,RIR,sensory,unknown,8.716971803276029e-05,0.00015838621488583102,7.121649685307073e-05,0.2900213690806815,False
AVH,ADA,interneuron,interneuron,0.0001874175477338559,0.00025822585882677863,7.080831109292272e-05,0.15889003216809688,False
RME,RMD,motor,motor,0.00031733488136507923,0.0002466046981080302,7.073018325704904e-05,0.12542154033766956,True
RIV,RIC,motor,interneuron,5.333694328660945e-05,0.00012404249071804957,7.070554743144011e-05,0.3986116427027199,False
AFD,RIP,sensory,interneuron,7.123527918577018e-05,0.00014175976921806862,7.052449003229843e-05,0.3311084339751439,False
AVH,AVK,interneuron,interneuron,0.00015676849021997778,0.00022726715771122601,7.049866749124823e-05,0.18357319044131634,False
ADA,SMB,interneuron,motor,4.1470606622911735e-05,0.00011182268469459773,7.0352078071686e-05,0.4589374497297735,False
ASI,FLP,sensory,sensory,9.694657381485552e-05,0.0001672508824683456,7.030430865349008e-05,0.26610506789899613,False
PLN,RIM,sensory,interneuron,4.435582831554945e-06,7.458042705491341e-05,7.014484422335847e-05,0.8877283926549122,False
ADA,AIA,interneuron,interneuron,0.00015739856641708918,0.00022754110839612622,7.014254197903704e-05,0.18221692474640316,False
RIA,AVE,interneuron,interneuron,0.0001707704217572746,0.0002407794019840059,7.000898022673128e-05,0.1701105411229336,False
BAG,AFD,sensory,sensory,0.0004515489603004589,0.00038165167659325673,6.989728370720218e-05,0.08389008868113662,True
CEP,RMG,sensory,interneuron,4.282595929661012e-05,0.00011271332462038342,6.98873653237733e-05,0.44932263175910464,False
ADF,RMD,sensory,motor,0.0002000417809021934,0.00026982528815603334,6.978350725383994e-05,0.1485175212256472,False
RMF,ASE,motor,sensory,1.0959902861787225e-05,8.073355145268031e-05,6.97736485908931e-05,0.760943875636023,False
DVB,ADE,interneuron,sensory,0.00013967106322488977,7.002277632566655e-05,6.964828689922322e-05,0.33214258384625994,True
ASE,AIM,sensory,interneuron,3.844866749531585e-05,0.00010808305418711956,6.96343866918037e-05,0.4752168224777532,False
RIC,RMG,interneuron,interneuron,1.8367930465311135e-05,8.782517618290309e-05,6.945724571759195e-05,0.6540648682705541,False
SMB,RMH,motor,motor,0.00021348073627878758,0.00014419967673528304,6.928105954350454e-05,0.19369537065268952,True
ALA,SMD,interneuron,motor,0.00014774445611446927,0.00021699102653359594,6.924657041912667e-05,0.18985416754894177,False
