lag,time_s,f1_GABA-A,auroc_GABA-A,auprc_GABA-A,f1_GABA-B,auroc_GABA-B,auprc_GABA-B
1,0.25,0.046511627882963764,0.5419944853336545,0.013960800504312644,0.07462686562182,0.572857854439809,0.03223339541577576
2,0.5,0.014847809942689876,0.49334755732973146,0.00611611353570177,0.027777777775038582,0.5215121743422609,0.026052053502373128
3,0.75,0.013040901005536794,0.5010216328058124,0.0059109857283374135,0.029384756645294583,0.5287584041615673,0.012409391656125845
5,1.25,0.04444444440465294,0.5689397817362166,0.01152944496734484,0.05917159758441231,0.5232228705888716,0.015655856638181205
8,2.0,0.016713091903517198,0.4882716553892743,0.00616258530396274,0.04071246816377962,0.5231101765014796,0.014659641609311018
10,2.5,0.022471910079428104,0.5403598728443548,0.0072618953524165,0.02895553256136774,0.5080677697163941,0.025735841912307073
15,3.75,0.01915991156433439,0.6061874384331809,0.007991635544626889,0.03163191947269935,0.5688436910469056,0.013383380764069659
20,5.0,0.022792022773162557,0.5015120165526022,0.007164991166864497,0.043076923042775855,0.5189089409235055,0.014642290933168635
