Network,Peak Lag (s),Interp Lag (s),Peak F1,Interp F1
Monoamine: dopamine,0.75,0.8192874287651686,0.0197044334886153,0.019909039681746128
Monoamine: serotonin,5.0,5.0,0.0689655171951843,0.0689655171951843
Monoamine: tyramine,0.5,0.550568482186103,0.0606060605847566,0.06164715237673382
Monoamine: octopamine,0.75,0.8724258025487651,0.0336134453627568,0.03653195520555515
Connectome: Cook,0.25,0.25,0.3375214162873439,0.3375214162873439
Connectome: Leifer,2.0,1.88145885135053,0.6949327817540328,0.6949435745705052
