lag,time_s,auroc_chem,auprc_chem,f1_chem,auroc_gap,auprc_gap,f1_gap
1,0.25,0.5697796342003671,0.25193280106824384,0.3092605886300999,0.6132974395005606,0.10689812399758286,0.17582417577572151
2,0.5,0.49440027002510395,0.1795974789226626,0.3069492889463612,0.48867386516652045,0.05388023347006229,0.09935131443143018
3,0.75,0.4945560407569141,0.17988970916145636,0.30682276945314024,0.5060604597131713,0.05371507696154447,0.09927574632387218
5,1.25,0.5156514144674388,0.1895040360740418,0.30706075531019145,0.5169516830167438,0.05549140768455817,0.09970674485238444
8,2.0,0.5115634031601375,0.1934846073422189,0.30705282915073173,0.5138343410298394,0.05739465731183342,0.09918931804750951
10,2.5,0.4996522582958884,0.18007598499492244,0.30676490285413593,0.4924486375974397,0.054746856304348154,0.09756893456341367
15,3.75,0.507723477417041,0.1907440933574592,0.30707179346682606,0.516654644933034,0.054191991610227835,0.10339734119405852
20,5.0,0.4987345104740206,0.18120996574228024,0.30750507096774266,0.5009993877484255,0.05177799753979301,0.09759188845675933
