lag,time_s,f1_syn,auroc_syn,auprc_syn,f1_nonsyn,auroc_nonsyn,auprc_nonsyn
1,0.25,0.07407407402429629,0.574990663679044,0.032180144271718385,0.02580645160311342,0.6973027566539923,0.005749802624236073
2,0.5,0.027397260271270405,0.515398260776782,0.025862963944672024,0.0036579789658920223,0.5593512357414449,0.0015946278182251052
3,0.75,0.029357798152799257,0.5246812313273581,0.012438972763191704,0.004060324825523118,0.5754119138149556,0.0015777227753478048
5,1.25,0.05882352936293426,0.5166920081092616,0.015606091458432317,0.012903225796661809,0.6468829214195183,0.0027249294286379425
8,2.0,0.040609137025968196,0.5185570493669085,0.014649180583743144,0.0061538461528663855,0.6924904942965779,0.0024897588693117085
10,2.5,0.030991735523420532,0.5146891449708351,0.026240325621164542,0.0047789725190146865,0.575649556400507,0.0017351976479675613
15,3.75,0.0316091953924891,0.5674504730402617,0.013467616226369059,0.002562049639455893,0.32885773130544993,0.0010531915042868954
20,5.0,0.042944785241657575,0.5175678439322805,0.014682249034901566,0.008928571421683672,0.4962175221799746,0.0017998893392145376
