lag,time_s,f1_GABA-A,auroc_GABA-A,auprc_GABA-A,f1_GABA-B,auroc_GABA-B,auprc_GABA-B,f1_GABA (All),auroc_GABA (All),auprc_GABA (All),f1_ACh,auroc_ACh,auprc_ACh,f1_Glutamate,auroc_Glutamate,auprc_Glutamate,f1_Dopamine,auroc_Dopamine,auprc_Dopamine,f1_Serotonin,auroc_Serotonin,auprc_Serotonin,f1_Octopamine,auroc_Octopamine,auprc_Octopamine,f1_Tyramine,auroc_Tyramine,auprc_Tyramine
1,0.25,0.046511627882963764,0.5419944853336545,0.013960800504312644,0.07462686562182,0.572857854439809,0.03223339541577576,0.07194244599360282,0.5605844768872855,0.03138676627111278,0.10342084324455483,0.5493480503028579,0.05799302351908284,0.11307824097921404,0.5763864912055716,0.06582148672408042,0.008333333320170139,0.48915082453733516,0.0027724730143797918,0.012422360225762893,0.6479108550865973,0.005084177126260099,0.00395452298522096,0.4877902779978521,0.0014250291775514926,0.024955436710980206,0.6118438476614227,0.007513096685840793
2,0.5,0.014847809942689876,0.49334755732973146,0.00611611353570177,0.027777777775038582,0.5215121743422609,0.026052053502373128,0.026647966329319844,0.4967505647526889,0.025245546763897658,0.08290155437588063,0.49397956422854866,0.0458435871742654,0.0909090908918683,0.5273617454696116,0.048797743039458,0.00840336134103016,0.5710352679862997,0.0033582823666661542,0.0098522167470592,0.5780962964642914,0.004192761061592684,0.009546539375271274,0.697934822796176,0.003440295346829818,0.06451612900978147,0.48315294477697146,0.014310160686510252
3,0.75,0.013040901005536794,0.5010216328058124,0.0059109857283374135,0.029384756645294583,0.5287584041615673,0.012409391656125845,0.032432432408795384,0.5269184733133282,0.013228455953706765,0.08126269728857038,0.48102971077677154,0.039969712837265914,0.0826109127908961,0.47496325379053184,0.041973659097375604,0.009259259254149997,0.4129872796334145,0.0026544816283426264,0.008849557516121074,0.5117667959388867,0.0035346055573793637,0.033898305070654985,0.7271606894487579,0.005786895429317154,0.04761904757312926,0.4961891813949656,0.006806680058933017
5,1.25,0.04444444440465294,0.5689397817362166,0.01152944496734484,0.05917159758441231,0.5232228705888716,0.015655856638181205,0.057471264318615406,0.5190182575272262,0.01633245660214735,0.08550959092918815,0.5238384899851913,0.045770766723416734,0.08359270784917174,0.4939122135521994,0.04229261971415556,0.006259780905910356,0.49040139616055844,0.002812558487297496,0.007247921551016585,0.421351839672208,0.0027634973612139114,0.008784773057428578,0.6646067712459726,0.002954828871381769,0.05714285710759183,0.44769320408919966,0.008761810298309296
8,2.0,0.016713091903517198,0.4882716553892743,0.00616258530396274,0.04071246816377962,0.5231101765014796,0.014659641609311018,0.04522613062236812,0.5227860851680772,0.01570311357479734,0.0878048780052079,0.4961572287602378,0.045694632484546985,0.08234126983280012,0.49883595900208144,0.04586760233221084,0.011560693636825905,0.5958507153456337,0.003801015442556301,0.010261672650510648,0.4987337370255293,0.003463627170246318,0.00501253132682835,0.47060687688163516,0.0015732585475110223,0.038834951417626544,0.5434786447022265,0.007794675885775133
10,2.5,0.022471910079428104,0.5403598728443548,0.0072618953524165,0.02895553256136774,0.5080677697163941,0.025735841912307073,0.03292181068517333,0.5186494824505209,0.02625449534052515,0.08433734935872425,0.49366380601020343,0.04246769900033919,0.08158833565202857,0.4800146244981306,0.042487412271156974,0.01666666665350347,0.5154314938731324,0.003563736788297692,0.02531645568005127,0.5459067576864052,0.00509177692600758,0.011494252863753468,0.4356414725611366,0.0018676616792197434,0.01063829784774219,0.4864017044217267,0.004289793041908874
15,3.75,0.01915991156433439,0.6061874384331809,0.007991635544626889,0.03163191947269935,0.5688436910469056,0.013383380764069659,0.03295128938798532,0.5597794935769917,0.014027816657190335,0.08216306852867314,0.5030179078224548,0.048413044777071576,0.08224241490044853,0.48730591096072845,0.04443366717089082,0.006694560668512169,0.5194818527125272,0.002871105356794705,0.008113590259522772,0.48063562621428946,0.00336618548573064,0.015037593972344396,0.5166112079438019,0.0028775815341127798,0.014354066973561733,0.5983367763123046,0.005843101888384479
20,5.0,0.022792022773162557,0.5015120165526022,0.007164991166864497,0.043076923042775855,0.5189089409235055,0.014642290933168635,0.04615384612246679,0.5289393607336728,0.01588423515618706,0.08230452674000271,0.5073186226413081,0.04332229094674422,0.08454810494572917,0.49690061753361414,0.04101385325136437,0.005453306066225264,0.3903370010545865,0.0021406543729802965,0.0689655171951843,0.5902221819034011,0.011093712266152413,0.008163265299045397,0.5525273332276976,0.0021811688322424198,0.020408163225385256,0.48294106914796564,0.0045103463170762005
