lag,time_s,f1_GABA-A (Any Src),auroc_GABA-A (Any Src),auprc_GABA-A (Any Src),f1_GABA-B (Any Src),auroc_GABA-B (Any Src),auprc_GABA-B (Any Src),f1_Glu-Meta (Any Src),auroc_Glu-Meta (Any Src),auprc_Glu-Meta (Any Src)
1,0.25,0.114971572931931,0.5374834618392808,0.06478334060855204,0.18163672650552448,0.5513949782805635,0.12906175433918982,0.1520041644629677,0.5497732901399511,0.08847327797896293
2,0.5,0.10017271154302355,0.516216366886918,0.0510873635920424,0.170352659876429,0.5126352479848958,0.10015882242297919,0.12898497615525387,0.5093562579558166,0.07413475175338777
3,0.75,0.09416725227389026,0.4956828294012482,0.04925422145885111,0.1721552005044011,0.5024335411431246,0.09753152458074679,0.12889625055258885,0.4969150127866815,0.06944912785535312
5,1.25,0.09272816006877305,0.5117366434861035,0.05230621250094183,0.17049280684011495,0.5040418151234896,0.09377521937849659,0.12745740496727231,0.49499077847405804,0.06986062475394501
8,2.0,0.09148213996165003,0.4897867715688802,0.04734306860255519,0.16983045933817592,0.5013035233223535,0.09751321639827762,0.12729970325217524,0.48180286866418254,0.06919188797495758
10,2.5,0.090955894961886,0.49569110883089484,0.04940450457241574,0.17096923788737312,0.49888486258245235,0.09480904569968703,0.12742882963093002,0.4943794393802881,0.06885218679536603
15,3.75,0.09471443773377332,0.4987644331157315,0.0511207363279384,0.1710603397616957,0.49193035733205087,0.09809130205181085,0.12889812888436886,0.5001588690266334,0.07325785847571192
20,5.0,0.0923623445724722,0.4948769649156409,0.046594857845220716,0.1702065754862949,0.4941433708994073,0.09036062699779396,0.13287560580000665,0.507629868010109,0.06762745384782817
