lag,time_s,f1_GABA-A (Iono),auroc_GABA-A (Iono),auprc_GABA-A (Iono),f1_GABA-B (Meta),auroc_GABA-B (Meta),auprc_GABA-B (Meta),f1_Acetylcholine,auroc_Acetylcholine,auprc_Acetylcholine,f1_Glutamate,auroc_Glutamate,auprc_Glutamate
1,0.25,0.046511627882963764,0.5419944853336545,0.013960800504312644,0.07462686562182,0.572857854439809,0.03223339541577576,0.10342084324455483,0.5493480503028579,0.05799302351908284,0.11307824097921404,0.5763864912055716,0.06582148672408042
2,0.5,0.014847809942689876,0.49334755732973146,0.00611611353570177,0.027777777775038582,0.5215121743422609,0.026052053502373128,0.08290155437588063,0.49397956422854866,0.0458435871742654,0.0909090908918683,0.5273617454696116,0.048797743039458
3,0.75,0.013040901005536794,0.5010216328058124,0.0059109857283374135,0.029384756645294583,0.5287584041615673,0.012409391656125845,0.08126269728857038,0.48102971077677154,0.039969712837265914,0.0826109127908961,0.47496325379053184,0.041973659097375604
5,1.25,0.04444444440465294,0.5689397817362166,0.01152944496734484,0.05917159758441231,0.5232228705888716,0.015655856638181205,0.08550959092918815,0.5238384899851913,0.045770766723416734,0.08359270784917174,0.4939122135521994,0.04229261971415556
8,2.0,0.016713091903517198,0.4882716553892743,0.00616258530396274,0.04071246816377962,0.5231101765014796,0.014659641609311018,0.0878048780052079,0.4961572287602378,0.045694632484546985,0.08234126983280012,0.49883595900208144,0.04586760233221084
10,2.5,0.022471910079428104,0.5403598728443548,0.0072618953524165,0.02895553256136774,0.5080677697163941,0.025735841912307073,0.08433734935872425,0.49366380601020343,0.04246769900033919,0.08158833565202857,0.4800146244981306,0.042487412271156974
15,3.75,0.01915991156433439,0.6061874384331809,0.007991635544626889,0.03163191947269935,0.5688436910469056,0.013383380764069659,0.08216306852867314,0.5030179078224548,0.048413044777071576,0.08224241490044853,0.48730591096072845,0.04443366717089082
20,5.0,0.022792022773162557,0.5015120165526022,0.007164991166864497,0.043076923042775855,0.5189089409235055,0.014642290933168635,0.08230452674000271,0.5073186226413081,0.04332229094674422,0.08454810494572917,0.49690061753361414,0.04101385325136437
