lag,time_s,f1_GABA-A,auroc_GABA-A,auprc_GABA-A,f1_GABA-B,auroc_GABA-B,auprc_GABA-B,f1_Dual (A&B),auroc_Dual (A&B),auprc_Dual (A&B),f1_Any (A|B),auroc_Any (A|B),auprc_Any (A|B)
1,0.25,0.046511627882963764,0.5419944853336545,0.013960800504312644,0.07462686562182,0.572857854439809,0.03223339541577576,0.047619047594557824,0.5369235801683288,0.013960895521695677,0.07407407402429629,0.574990663679044,0.032180144271718385
2,0.5,0.014847809942689876,0.49334755732973146,0.00611611353570177,0.027777777775038582,0.5215121743422609,0.026052053502373128,0.014858841005195073,0.5047342457033737,0.006108574597942581,0.027397260271270405,0.515398260776782,0.025862963944672024
3,0.75,0.013040901005536794,0.5010216328058124,0.0059109857283374135,0.029384756645294583,0.5287584041615673,0.012409391656125845,0.013044767267381217,0.5083722328311762,0.005867098603459376,0.029357798152799257,0.5246812313273581,0.012438972763191704
5,1.25,0.04444444440465294,0.5689397817362166,0.01152944496734484,0.05917159758441231,0.5232228705888716,0.015655856638181205,0.04477611936368902,0.5831963010113869,0.011677116600801965,0.05882352936293426,0.5166920081092616,0.015606091458432317
8,2.0,0.016713091903517198,0.4882716553892743,0.00616258530396274,0.04071246816377962,0.5231101765014796,0.014659641609311018,0.016759776518223527,0.4963708536671617,0.006135239310321373,0.040609137025968196,0.5185570493669085,0.014649180583743144
10,2.5,0.022471910079428104,0.5403598728443548,0.0072618953524165,0.02895553256136774,0.5080677697163941,0.025735841912307073,0.01707317072331231,0.5280872056015277,0.006466661897102255,0.030991735523420532,0.5146891449708351,0.026240325621164542
15,3.75,0.01915991156433439,0.6061874384331809,0.007991635544626889,0.03163191947269935,0.5688436910469056,0.013383380764069659,0.019174041292766335,0.6100104321380578,0.007930220047950586,0.0316091953924891,0.5674504730402617,0.013467616226369059
20,5.0,0.022792022773162557,0.5015120165526022,0.007164991166864497,0.043076923042775855,0.5189089409235055,0.014642290933168635,0.02285714283868735,0.5037042930900346,0.007117206136997557,0.042944785241657575,0.5175678439322805,0.014682249034901566
