RIM,ALM,tyramine,lgc-55
RIM,ALN,tyramine,lgc-55
RIM,AVB,tyramine,lgc-55
RIM,AVM,tyramine,lgc-55
RIM,HSN,tyramine,lgc-55
RIM,IL1,tyramine,lgc-55
RIM,RMD,tyramine,lgc-55
RIM,SDQ,tyramine,lgc-55
RIM,SMD,tyramine,lgc-55
RIM,AIY,tyramine,ser-2
RIM,AIZ,tyramine,ser-2
RIM,ALN,tyramine,ser-2
RIM,AUA,tyramine,ser-2
RIM,AVH,tyramine,ser-2
RIM,BDU,tyramine,ser-2
RIM,CAN,tyramine,ser-2
RIM,DA9,tyramine,ser-2
RIM,DVA,tyramine,ser-2
RIM,LUA,tyramine,ser-2
RIM,NSM,tyramine,ser-2
RIM,OLL,tyramine,ser-2
RIM,PDA,tyramine,ser-2
RIM,PVC,tyramine,ser-2
RIM,PVD,tyramine,ser-2
RIM,PVT,tyramine,ser-2
RIM,RIA,tyramine,ser-2
RIM,RIC,tyramine,ser-2
RIM,RID,tyramine,ser-2
RIM,RME,tyramine,ser-2
RIM,SAB,tyramine,ser-2
RIM,SDQ,tyramine,ser-2
RIM,SIA,tyramine,ser-2
RIM,VD,tyramine,ser-2
RIM,ALM,tyramine,tyra-2
RIM,ASE,tyramine,tyra-2
RIM,ASG,tyramine,tyra-2
RIM,ASH,tyramine,tyra-2
RIM,ASI,tyramine,tyra-2
RIM,CAN,tyramine,tyra-2
RIM,MC,tyramine,tyra-2
RIM,NSM,tyramine,tyra-2
RIM,PVD,tyramine,tyra-2
RIM,ADE,tyramine,tyra-3
RIM,ADL,tyramine,tyra-3
RIM,AFD,tyramine,tyra-3
RIM,AIM,tyramine,tyra-3
RIM,ASK,tyramine,tyra-3
RIM,AUA,tyramine,tyra-3
RIM,AWC,tyramine,tyra-3
RIM,BAG,tyramine,tyra-3
RIM,CEP,tyramine,tyra-3
RIM,OLQ,tyramine,tyra-3
RIM,PVT,tyramine,tyra-3
RIM,SDQ,tyramine,tyra-3
RIC,ADE,octopamine,octr-1
RIC,AIY,octopamine,octr-1
RIC,ASH,octopamine,octr-1
RIC,ASI,octopamine,octr-1
RIC,CEP,octopamine,octr-1
RIC,ASH,octopamine,ser-3
RIC,PHA,octopamine,ser-3
RIC,PHB,octopamine,ser-3
RIC,PVQ,octopamine,ser-3
RIC,SIA,octopamine,ser-3
RIC,ADL,octopamine,ser-6
RIC,ASI,octopamine,ser-6
RIC,AWB,octopamine,ser-6
RIC,RIC,octopamine,ser-6
RIC,SIA,octopamine,ser-6
ADE,ALM,dopamine,dop-1
ADE,ALN,dopamine,dop-1
ADE,AS,dopamine,dop-1
ADE,AUA,dopamine,dop-1
ADE,AVM,dopamine,dop-1
ADE,DA,dopamine,dop-1
ADE,DB,dopamine,dop-1
ADE,PHC,dopamine,dop-1
ADE,PLM,dopamine,dop-1
ADE,PLN,dopamine,dop-1
ADE,PVD,dopamine,dop-1
ADE,PVQ,dopamine,dop-1
ADE,RIB,dopamine,dop-1
ADE,RIM,dopamine,dop-1
ADE,RIS,dopamine,dop-1
ADE,VA,dopamine,dop-1
ADE,VB,dopamine,dop-1
CEP,ALM,dopamine,dop-1
CEP,ALN,dopamine,dop-1
CEP,AS,dopamine,dop-1
CEP,AUA,dopamine,dop-1
CEP,AVM,dopamine,dop-1
CEP,DA,dopamine,dop-1
CEP,DB,dopamine,dop-1
CEP,PHC,dopamine,dop-1
CEP,PLM,dopamine,dop-1
CEP,PLN,dopamine,dop-1
CEP,PVD,dopamine,dop-1
CEP,PVQ,dopamine,dop-1
CEP,RIB,dopamine,dop-1
CEP,RIM,dopamine,dop-1
CEP,RIS,dopamine,dop-1
CEP,VA,dopamine,dop-1
CEP,VB,dopamine,dop-1
PDE,ALM,dopamine,dop-1
PDE,ALN,dopamine,dop-1
PDE,AS,dopamine,dop-1
PDE,AUA,dopamine,dop-1
PDE,AVM,dopamine,dop-1
PDE,DA,dopamine,dop-1
PDE,DB,dopamine,dop-1
PDE,PHC,dopamine,dop-1
PDE,PLM,dopamine,dop-1
PDE,PLN,dopamine,dop-1
PDE,PVD,dopamine,dop-1
PDE,PVQ,dopamine,dop-1
PDE,RIB,dopamine,dop-1
PDE,RIM,dopamine,dop-1
PDE,RIS,dopamine,dop-1
PDE,VA,dopamine,dop-1
PDE,VB,dopamine,dop-1
ADE,ADE,dopamine,dop-2
ADE,CEP,dopamine,dop-2
ADE,PDA,dopamine,dop-2
ADE,PDE,dopamine,dop-2
ADE,RIA,dopamine,dop-2
ADE,RID,dopamine,dop-2
ADE,SIA,dopamine,dop-2
ADE,SIB,dopamine,dop-2
CEP,ADE,dopamine,dop-2
CEP,CEP,dopamine,dop-2
CEP,PDA,dopamine,dop-2
CEP,PDE,dopamine,dop-2
CEP,RIA,dopamine,dop-2
CEP,RID,dopamine,dop-2
CEP,SIA,dopamine,dop-2
CEP,SIB,dopamine,dop-2
PDE,ADE,dopamine,dop-2
PDE,CEP,dopamine,dop-2
PDE,PDA,dopamine,dop-2
PDE,PDE,dopamine,dop-2
PDE,RIA,dopamine,dop-2
PDE,RID,dopamine,dop-2
PDE,SIA,dopamine,dop-2
PDE,SIB,dopamine,dop-2
ADE,AS,dopamine,dop-3
ADE,ASE,dopamine,dop-3
ADE,ASK,dopamine,dop-3
ADE,DA,dopamine,dop-3
ADE,DB,dopamine,dop-3
ADE,DD,dopamine,dop-3
ADE,NSM,dopamine,dop-3
ADE,PVD,dopamine,dop-3
ADE,RIC,dopamine,dop-3
ADE,SIA,dopamine,dop-3
